bam_files	conditions	exp_id_date	flowcell	strain	age	primary_antibody	heatshock_treatmemt	mtase1	mtase1_concentration	mtase1_incubation	mtase1_temp_duration	mtase_2	mtase2_concentration	mtase2_temp_duration	exclude	exclusion_reason	description	file_size
/Data1/seq_data/TubeAB_FiberSeq_TimeC_N2_021Aux_4_10_23/basecalls/m6A_full/demux/mod_mappings_barcode_10_Ya_ambig.bam	SDC2_degron_mixed_fiber_R9	AB-10_04_10_23	R9	TY5958 + 4mM Auxin	mixed_embryo	none	none	Hia5	2uM	none	120min_37C	none	none	none	0	none	SDC2_AID_120_min	550M
/Data1/seq_data/TubeAB_FiberSeq_TimeC_N2_021Aux_4_10_23/basecalls/m6A_full/demux/mod_mappings_barcode_09_Ya_ambig.bam	SDC2_degron_mixed_fiber_R9	AB-09_04_10_23	R9	TY5958 + 4mM Auxin	mixed_embryo	none	none	Hia5	2uM	none	30min_37C	none	none	none	0	none	SDC2_AID_30_min	517M
/Data1/seq_data/AH_N2_SDC2aid_AuxRem_fiberseq_8_19_23/8_20_23_run/pod5_pass/barcode09/basecalls/barcode09.mod_mappings.sorted.bam	SDC2_degron_mixed_fiber_R9	AH-09_08_19_23	R9	TY5958 + 4mM Auxin	mixed_embryo	none	none	Hia5	2uM	none	30min_37C	none	none	none	0	none	SDC2-AID+Aux-0min-aux-rem	518M
/Data1/seq_data/TubeAB_FiberSeq_TimeC_N2_021Aux_4_10_23/basecalls/m6A_full/demux/mod_mappings_barcode_06_Ya_ambig.bam	SDC2_degron_mixed_endogenous_R9	AB-06_04_10_23	R9	TY5958 + 4mM Auxin	mixed_embryo	none	none	none	none	none	none	none	none	none	0	none	021+Aux-No-Met	797M
/Data1/seq_data/TubeAB_FiberSeq_TimeC_N2_021Aux_4_10_23/basecalls/m6A_full/demux/mod_mappings_barcode_01_Ya_ambig.bam	N2_mixed_endogenous_R9	AB-01_04_10_23	R9	N2	mixed_embryo	none	none	none	none	none	none	none	none	none	0	none	N2-No-Met	685M
/Data1/seq_data/N2_Yeast_Raja_06-14-21/megalodon/barcode01_m6A/mod_mappings.01.sorted.m6Aonly_modkit_Zm.bam	N2_mixed_endogenous_R9	RG-nb_06_14_21	R9	N2	mixed_embryo	none	none	none	none	none	none	none	none	none	0	none	N2-No-Met	3.7G
/Data1/seq_data/AI_N2_dimelo_antiDPY27_mpx_8_19_23/pod5_pass/barcode05/basecalls/barcode05.mod_mappings.sorted.bam	N2_mixed_DPY27_dimelo_pAHia5_R10	AI-05_08_19_23	R10	N2	mixed_embryo	rb-anti-dpy27_overnight_4C	none	pA-Hia5	200nM	2h_4C	none	none	none	none	0	none	N2-DPY27_dimelo_pAHia5	2.2G
/Data1/seq_data/AI_N2_dimelo_antiDPY27_mpx_8_19_23/pod5_pass/barcode06/basecalls/barcode06.mod_mappings.sorted.bam	N2_mixed_DPY27_dimelo_RbNbHia5_R10	AI-06_08_19_23	R10	N2	mixed_embryo	rb-anti-dpy27_overnight_4C	none	RbNb-Hia5	200nM	2h_4C	none	none	none	none	0	none	N2-DPY27_dimelo_RbNbHia5	1.8G
/Data1/seq_data/TubeT_N2_Young_FiberSeq_02_14_23_v3/basecalls/m6A/mod_mappings.sorted.m6Aonly.bam	N2_young_fiber_R9	T-02_14_23	R9	N2	young_embryo	none	none	Hia5	2uM	none	120min_37C	none	none	none	0	none	N2-Young_Hia5_fiber	46M
/Data1/seq_data/AF_060_ama1-3xGFPnb_GFP-Hia5_dimelo_12_1/no_sample/20231201_2151_X1_FAW59661_bf8308e2/basecalls/mod_mappings.sorted.bam	60_mixed_ama1_dimelo_R10	AF-12-01-23	R10	PHX8096	mixed_embryo	none	none	eGFP-Hia5	400nM	overnight_4C	120min_37C	none	none	none	0	failed methylation reaction	60-mixedstage-ama1-3xGNB-GFP-Hia5-methytrap	2.6G
/Data1/seq_data/AG_merged_N2_DPY21null_DPY21jmjc_11_30_24/mod_mappings_AG1_merged.sorted.bam	N2_old_fiber_R10	AG-22_11_30_23	R10	N2	old_embryo_2h	none	none	Hia5	2uM	none	120min_37C	none	none	none	0	none	N2-Old-Hia5-Fiber	11G
/Data1/seq_data/AG_merged_N2_DPY21null_DPY21jmjc_11_30_24/mod_mappings_AG2_merged.sorted.bam	51_old_dpy21null_fiber_R10	AG-23_11_30_23	R10	TY3936	old_embryo_2h	none	none	Hia5	2uM	none	120min_37C	none	none	none	0	none	51-DPY21null-Old-Hia5-Fiber	9.0G
/Data1/seq_data/AG_merged_N2_DPY21null_DPY21jmjc_11_30_24/mod_mappings_AG3_merged.sorted.bam	52_old_dpy21jmjc_fiber_R10	AG-24_11_30_23	R10	TY5695	old_embryo_2h	none	none	Hia5	2uM	none	120min_37C	none	none	none	0	none	52-DPY21null-Old-Hia5-Fiber	8.7G
/Data1/seq_data/AL_050_dpy27-3xGNB_GFP-Hia5_mcvipi_01_09/no_sample/20240110_0326_X2_FAX32044_25eebbd4/basecalls/mod_mappings.sorted.bam	50_mixed_dpy27-3xGNB_GFP-Hia5_mcvipi_R10	AL_01_09_2024	R10	TY6155	mixed_embryo	none	none	eGFP-Hia5	400nM	overnight_4C	120min_37C	none	none	none	0	none	50-DPY27-methyltrap-Hia5	7.0G
/Data1/seq_data/AM_N2_mixed_embryo_background_01_24_24/mod_mappings_AM.sorted.bam	N2_mixed_endogenous_R10	AM_10_08_22	R10	N2	mixed_embryo	none	none	none	none	none	none	none	none	none	0	none	N2-No-Met	3.2G
/Data1/seq_data/AN3_ECOGII-MGFP-NO-HS-2-5-24/no_sample/20240205_1557_X1_FAX20498_0aa134b6/basecalls/mod_mappings.sorted.bam	71_mECOGII-MGFP-NO-HS-2-5-24	AN3_02_05_24	R10	PHX8391	mixed_embryo	none	none	none	none	none	none	none	none	none	1	no detectable methylation above background	71-live-fiber-seq	0
/Data1/seq_data/AN1_ECOGII-MGFP-WITH-HS-2-5-24/no_sample/20240205_1558_X2_FAX32057_5e45dff0/basecalls/mod_mappings.sorted.bam	71_mECOGII-MGFP-WITH-HS-2-5-24	AN1_02_05_24	R10	PHX8391	mixed_embryo	none	30min 34C Heatshock then 20C shaking for 3h20	none	none	none	none	none	none	none	1	no detectable methylation above background	71-live-fiber-seq	5.1G
/Data1/seq_data/AO1_54_sdc2_3xmCNB_mChMCVIPI_GFPHia5_2_14_24/no_sample/20240214_1711_X1_FAX32057_be870f03/basecalls/mod_mappings.sorted.bam	54_mixed_sdc2_3xmCNB_mChMCVIPI_GFPHia5	AO1_02_14_24	R10	PHX7767	mixed_embryo	none	none	mCNB-Hia5	400nM	overnight_4C	120min_37C	eGFP-Hia5	2uM	none	0	none	54-sdc2-mcvipi_gfp-hia5-fiber	4.0G
/Data1/seq_data/AO2_60_ama1_3xGNB_GFPHia5_mChMCVIPI_2_14_24/no_sample/20240214_1714_X2_FAX20498_4be84740/basecalls/mod_mappings.sorted.bam	60_old_ama1_3xGNB_GFPHia5_mChMCVIPI	AO2_02_14_24	R10	PHX8096	old_embryo_2h	none	none	eGFP-Hia5	1uM	overnight_4C	120min_25C	MCViPi	2U/uL	30min_25C	0	none	60-ama1-gfp-hia5_mcvipi-fiber	2.8G
/Data1/seq_data/AO3_66_sdc2_3xGNB_GFPHia5_mChMCVIPI_2_14_24/no_sample/20240214_1717_X5_FAX32044_17ea4a2e/basecalls/mod_mappings.sorted.bam	66_old_sdc2_3xGNB_GFPHia5_mChMCVIPI	AO3_02_14_24	R10	PHX8226	old_embryo_2h	none	none	eGFP-Hia5	1uM	overnight_4C	120min_25C	MCViPi	2U/uL	30min_25C	0	none	AID_SDC_2 + Auxin; 2uM Hia5 30min	1.4G
