bam_files	conditions	exp_id_date	flowcell	strain	age	primary_antibody	heatshock_treatmemt	mtase1	mtase1_concentration	mtase1_incubation	mtase1_temp_duration	mtase_2	mtase2_concentration	mtase2_incubation	mtase2_temp_duration	induced_met	exclude	exclusion_reason	description	file_size	file_size_restored
/Data1/seq_data/TubeAB_FiberSeq_TimeC_N2_021Aux_4_10_23/basecalls/m6A_full/demux/mod_mappings_barcode_10_Ya_ambig.bam	SDC2_degron_mixed_R9	AB-10_04_10_23_fiber_120min37c_R9_rep2	R9	TY5958 + 4mM Auxin	mixed_embryo	none	none	Hia5	2uM	none	120min_37C	none	none	none	none	A	0	none	SDC2_AID_120_min	724	file_missing
/Data1/seq_data/TubeAB_FiberSeq_TimeC_N2_021Aux_4_10_23/basecalls/m6A_full/demux/mod_mappings_barcode_09_Ya_ambig.bam	SDC2_degron_mixed_R9	AB-09_04_10_23_fiber_30min37c_R9_rep3	R9	TY5958 + 4mM Auxin	mixed_embryo	none	none	Hia5	2uM	none	30min_37C	none	none	none	none	A	0	none	SDC2_AID_30_min	663	file_missing
/Data1/seq_data/AH_N2_SDC2aid_AuxRem_fiberseq_8_19_23/combined_pod5/barcode09/basecalls/barcode09.mod_mappings.sorted.bam	SDC2_degron_mixed_R10	AH-09_08_19_23_fiber_30min37c_R10_rep1	R10	TY5958 + 4mM Auxin	mixed_embryo	none	none	Hia5	2uM	none	30min_37C	none	none	none	none	A	0	none	SDC2-AID+Aux-0min-aux-rem	572	1099
/Data1/seq_data/AH_N2_SDC2aid_AuxRem_fiberseq_8_19_23/combined_pod5/barcode10/basecalls/barcode10.mod_mappings.sorted.bam	SDC2_degron_mixed_R10	AH-10_08_19_23	R10	TY5958 + 4mM Auxin_10min_rem	mixed_embryo	none	none	Hia5	2uM	none	30min_37C	none	none	none	none	A	0	none	SDC2-AID+Aux-10min-aux-rem	1517	3573
/Data1/seq_data/AH_N2_SDC2aid_AuxRem_fiberseq_8_19_23/combined_pod5/barcode11/basecalls/barcode11.mod_mappings.sorted.bam	SDC2_degron_mixed_R10	AH-10_08_19_23	R10	TY5958 + 4mM Auxin_30min_rem	mixed_embryo	none	none	Hia5	2uM	none	30min_37C	none	none	none	none	A	0	none	SDC2-AID+Aux-30min-aux-rem	355	701
/Data1/seq_data/TubeAB_FiberSeq_TimeC_N2_021Aux_4_10_23/basecalls/m6A_full/demux/mod_mappings_barcode_06_Ya_ambig.bam	SDC2_degron_mixed_endogenous_R9	AB-06_04_10_23	R9	TY5958 + 4mM Auxin	mixed_embryo	none	none	none	none	none	none	none	none	none	none	A	0	none	021+Aux-No-Met	1120	file_missing
/Data1/seq_data/TubeAB_FiberSeq_TimeC_N2_021Aux_4_10_23/basecalls/m6A_full/demux/mod_mappings_barcode_01_Ya_ambig.bam	N2_mixed_endogenous_R9	AB-01_04_10_23	R9	N2	mixed_embryo	none	none	none	none	none	none	none	none	none	none	A	0	none	N2-No-Met	964	file_missing
/Data1/seq_data/N2_Yeast_Raja_06-14-21/megalodon/barcode01_m6A/mod_mappings.01.sorted.m6Aonly_modkit_Zm.bam	N2_mixed_endogenous_R9	RG-nb_06_14_21	R9	N2	mixed_embryo	none	none	none	none	none	none	none	none	none	none	A	0	none	N2-No-Met	5751	file_missing
/Data1/seq_data/AI_N2_dimelo_antiDPY27_mpx_8_19_23/pod5_pass/barcode05/basecalls/barcode05.mod_mappings.sorted.bam	N2_mixed_DPY27_dimelo_pAHia5_R10	AI-05_08_19_23	R10	N2	mixed_embryo	rb-anti-dpy27_overnight_4C	none	pA-Hia5	200nM	2h_4C	none	none	none	none	none	A	0	none	N2-DPY27_dimelo_pAHia5	1317	2166
/Data1/seq_data/AI_N2_dimelo_antiDPY27_mpx_8_19_23/pod5_pass/barcode06/basecalls/barcode06.mod_mappings.sorted.bam	N2_mixed_DPY27_dimelo_RbNbHia5_R10	AI-06_08_19_23	R10	N2	mixed_embryo	rb-anti-dpy27_overnight_4C	none	RbNb-Hia5	200nM	2h_4C	none	none	none	none	none	A	0	none	N2-DPY27_dimelo_RbNbHia5	1052	1825
/Data1/seq_data/AG1_N2_OLD_Hia5_fiberseq_01_09_2024/no_sample/20240110_0325_X1_FAX30165_39e60397/basecalls/mod_mappings.sorted.bam	N2_comb_EXCL_highmet_R10	AG-22_11_30_23	R10	N2	old_embryo_2h	none	none	Hia5	2uM	none	120min_37C	none	none	none	none	A	0	none	N2-Old-Hia5-Fiber	7130	7957
/Data1/seq_data/AF_060_ama1-3xGFPnb_GFP-Hia5_dimelo_12_1/no_sample/20231201_2151_X1_FAW59661_bf8308e2/basecalls/mod_mappings.sorted.bam	60_mixed_ama1_dimelo_R10	AF-12-01-23	R10	PHX8096	mixed_embryo	none	none	eGFP-Hia5	400nM	overnight_4C	120min_37C	none	none	none	none	A	1	failed methylation reaction	60-mixedstage-ama1-3xGNB-GFP-Hia5-methytrap	1879	2566
/Data1/seq_data/AG2_51dpy21null_fiberseq_1_16_24/no_sample/20240116_2226_X1_FAX30165_d8fc11b9/basecalls/mod_mappings.sorted.bam	DPY21null_comb_R10	AG-23_11_30_23	R10	TY3936	old_embryo_2h	none	none	Hia5	2uM	none	120min_37C	none	none	none	none	A	0	none	51-DPY21null-Old-Hia5-Fiber	4364	4911
/Data1/seq_data/AG_merged_N2_DPY21null_DPY21jmjc_11_30_24/mod_mappings_AG3_merged.sorted.explicit.bam	52_old_dpy21jmjc_fiber_R10	AG-24_11_30_23	R10	TY5695	old_embryo_2h	none	none	Hia5	2uM	none	120min_37C	none	none	none	none	A	0	none	52-DPY21null-Old-Hia5-Fiber	6901	6698
/Data1/seq_data/BN_96DPY27Deg_Fiber_Hia5_MCviPI_05_24_24/no_sample/basecalls/mod_mappings.sorted.bam	DPY27deg_comb_R10	BN_05_24_24_SMACseq_R10_rep1	R10	TY6181	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, GC"	0	none	96_old_DPY27degron_SMACseq_R10	2358	3687
/Data1/seq_data/AL_050_dpy27-3xGNB_GFP-Hia5_mcvipi_01_09/no_sample/20240110_0326_X2_FAX32044_25eebbd4/basecalls/mod_mappings.sorted.bam	50_mixed_dpy27-3xGNB_GFP-Hia5_mcvipi_R10	AL_01_09_2024	R10	TY6155	mixed_embryo	none	none	eGFP-Hia5	400nM	overnight_4C	120min_37C	none	none	none	none	A	0	none	50-DPY27-methyltrap-Hia5	5139	7124
/Data1/seq_data/AM_N2_mixed_embryo_background_01_24_24/mod_mappings_AM.sorted.bam	N2_mixed_endogenous_R10	AM_10_08_22	R10	N2	mixed_embryo	none	none	none	none	none	none	none	none	none	none	none	0	none	N2-No-Met	2198	3215
/Data1/seq_data/AN3_ECOGII-MGFP-NO-HS-2-5-24/no_sample/20240205_1557_X1_FAX20498_0aa134b6/basecalls/mod_mappings.sorted.bam	71_mECOGII-MGFP-NO-HS-2-5-24	AN3_02_05_24	R10	PHX8391	mixed_embryo	none	none	none	none	none	none	none	none	none	none	none	1	no detectable methylation above background	71-live-fiber-seq	0	file_missing
/Data1/seq_data/AN1_ECOGII-MGFP-WITH-HS-2-5-24/no_sample/20240205_1558_X2_FAX32057_5e45dff0/basecalls/mod_mappings.sorted.bam	71_mECOGII-MGFP-WITH-HS-2-5-24	AN1_02_05_24	R10	PHX8391	mixed_embryo	none	30min 34C Heatshock then 20C shaking for 3h20	none	none	none	none	none	none	none	none	A	1	no detectable methylation above background	71-live-fiber-seq	4145	5123
/Data1/seq_data/AO1_54_sdc2_3xmCNB_mChMCVIPI_GFPHia5_2_14_24/no_sample/20240214_1711_X1_FAX32057_be870f03/basecalls/mod_mappings.sorted.bam	54_mixed_sdc2_3xmCNB_mChMCVIPI_GFPHia5	AO1_02_14_24	R10	PHX7767	mixed_embryo	none	none	mCNB-Hia5	400nM	overnight_4C	120min_37C	eGFP-Hia5	2uM	none	none	"A, CG"	0	none	54-sdc2-mcvipi_gfp-hia5-fiber	3001	4038
/Data1/seq_data/AO2_60_ama1_3xGNB_GFPHia5_mChMCVIPI_2_14_24/no_sample/20240214_1714_X2_FAX20498_4be84740/basecalls/mod_mappings.sorted.bam	60_old_ama1_3xGNB_GFPHia5_mChMCVIPI	AO2_02_14_24	R10	PHX8096	old_embryo_2h	none	none	eGFP-Hia5	1uM	overnight_4C	120min_25C	MCViPi	2U/uL	none	30min_25C	"A, CG"	0	none	60-ama1-gfp-hia5_mcvipi-fiber	1652	2780
/Data1/seq_data/AO3_66_sdc2_3xGNB_GFPHia5_mChMCVIPI_2_14_24/no_sample/20240214_1717_X5_FAX32044_17ea4a2e/basecalls/mod_mappings.sorted.bam	66_old_sdc2_3xGNB_GFPHia5_mChMCVIPI	AO3_02_14_24	R10	PHX8226	old_embryo_2h	none	none	eGFP-Hia5	1uM	overnight_4C	120min_25C	MCViPi	2U/uL	none	30min_25C	"A, CG"	0	none	66-old-sdc2-gfp-ha5_mcvipi-fiber	800	1354
/Data1/seq_data/AP1_54_Digi_sdc2MCVIP_H4K20mHia5_3_25_24/no_sample/20240325_1408_X1_FAX20315_cf4f763a/basecalls/mod_mappings.sorted.bam	54_sdc2_h4k20me_digi	AP1_03_25_24	R10	PHX7767	old_embryo_2h	none	none	"mCherry-MCVIPI (Heparin extraction), H4K20me Rabbit (ab177188) 400nM;"	400nM;	overnight_4C	60min_25C	pA-Hia5	200nM	2hr_RT	60min_25C	"A, CG"	0	none	54-sdc2-mcvipi_H4K20me1-pA-hia5	632	965
/Data1/seq_data/AP2_54_NP40_sdc2MCVIP_H4K20mHia5_3_25_24/no_sample/20240325_1408_X2_FAX30165_a3d949ae/basecalls/mod_mappings.sorted.bam	54_sdc2_h4k20me_NP40	AP2_03_25_24	R10	PHX7767	old_embryo_2h	none	none	mCherry-MCVIPI (Heparin	400nM;	overnight_4C	60min_25C	pA-Hia5	200nM	2hr_RT	60min_25C	"A, CG"	0	none	54-sdc2-mcvipi_H4K20me1-pA-hia5	179	298
/Data1/seq_data/AQ2_86_L1_ECOGII_mC_mSSI_GFP_3_27_24/no_sample/20240327_1947_X2_FAX20498_bae82258/basecalls/mod_mappings.sorted.bam	86_L1_ECOGII_mC_mSSI-GFP_live_fiber_R10	AQ2_03_27_24	R10	TY6167	L1	none	34C_30min_o/n-20C_34C_30min_2h-20C	ECOGII-mC	live	none	none	mSSI-GFP	live	none	none	"A, CG"	0	none	86-live-fiber-mssi-ecogii	54	116
/Data1/seq_data/AR2_91_L1_ECOGII_ama1_mSSI_dpy27_3_27_24/no_sample/20240327_1948_X3_FAX32057_9a543c55/basecalls/mod_mappings.sorted.bam	91_L1_ECOGII_ama1_mSSI_live_methyl_R10	AR2_03_27_24	R10	TY6172	L1	none	34C_30min_o/n-20C_34C_30min_2h-20C	ECOGII-mC	live	none	none	mSSI-GFP	live	none	none	"A, CG"	0	none	91-live-methyltrap_ama1-ecogii_dpy27-msssI	795	1430
/Data1/seq_data/AS_53_OLD_dpy27_GNB_GHia5_MCVIPI_3_28_24/no_sample/20240328_1850_X1_FAX32057_ebd990e7/basecalls/mod_mappings.sorted.bam	53_old_dpy27GFPhia5_MCVIPI_R10	AS_03_28_24	R10	PHX7797	old_embryo_2h	none	none	eGFP-Hia5	400nM	overnight_4C	120min_37C	MCViPi	2U/uL	none	30min_25C	"A, CG"	0	none	53_old_dpy27GFPhia5_MCVIPI	268	477
/Data1/seq_data/AV_87_OLD_dpy27_GHia5_ama1_mCMCV_3_28_24/no_sample/20240328_1854_X2_FAX32001_24e97c5b/basecalls/mod_mappings.sorted.bam	87_old_GFPhia5dpy27_mCmcvipi_ama1_R10	AV_03_28_24	R10	TY6169	old_embryo_2h	none	none	eGFP-Hia5	400nM	overnight_4C	120min_37C	mCherry-MCVIPI (Heparin extraction)	400nM	overnight_4C	60min_25C	"A, CG"	0	none	87_old_methyltrap_GFPhia5dpy27_mCmcvipi_ama1	2412	3366
/Data1/seq_data/AT_54_sdc2MCVIPI_LMN1pAhia5_4_1_24/no_sample/combined_pod5/basecalls/mod_mappings.sorted.bam	54_old_MCVIPIsdc2_LMN1pAhia5_R10	AT_04_01_24	R10	PHX7767	old_embryo_2h	none	none	"mCherry-MCVIPI (Heparin extraction), LMN-1 Rabbit (ABIN4889315)"	400nM;	overnight_4C	60min_25C	pA-Hia5	200nM	overnight_4C	60min_25C	"A, CG"	0	none	54-sdc2-mcvipi_LMN1-pA-hia5	791	1100
/Data1/seq_data/AW_50_mix_GNBDPY27_GFPHia5_5_1_24/no_sample/20240501_1701_X1_FAX22740_9c13c2ad/basecalls/mod_mappings.sorted.bam	50_mixed_Hia5DPY27_R10	AW_05_01_24	R10	TY6155	mixed_embryo	none	none	eGFP-Hia5_q2_60kD	200nM-3xWash	overnight_4C	120min_25C	none	none	none	none	A	0	none	50_mixed_Hia5DPY27	782	980
/Data1/seq_data/AX_66_mix_GNBSDC2_GFPHia5_5_1_24/no_sample/20240501_1704_X2_FAX20312_3d9c167a/basecalls/mod_mappings.sorted.bam	66_old_Hia5SDC2_R10	AX_05_01_24	R10	PHX8226	old_embryo_2h	none	none	eGFP-Hia5_q2_60kD	200nM-3xWash	overnight_4C	120min_25C	none	none	none	none	A	0	none	66_old_Hia5SDC2	731	887
/Data1/seq_data/BC_MTrapCtrl_LowCfiber_5_3_24/no_sample/basecalls/SQK-NBD114-24_barcode15.sorted.bam	N2_old_MTrapCtrl_eGFPHia5_R10_EXCLUDE	BC15_05_03_24	R10	N2	old_embryo_2h	none	none	eGFP-Hia5_q2_60kD	200nM-3xWash	overnight_4C	60min_25C	None	None	None	60min_25C	A	1	Methylation failure 	N2_old_MTrapCtrl_eGFPHia5	1369	1591
/Data1/seq_data/BC_MTrapCtrdpyl_LowCfiber_5_3_24/no_sample/basecalls/SQK-NBD114-24_barcode16.sorted.bam	N2_old_MTrapCtrl_mCherryMCVIPI	BC16_05_03_24	R10	N2	old_embryo_2h	none	none	mCherry-MCVIPI (Heparin extraction)	400nM-3xWash	overnight_4C	60min_25C	None	None	None	60min_25C	A	0	none	_MTrapCtrl_mCherryMCVIPI	1G	file_missing
/Data1/seq_data/BC_MTrapCtrl_LowCfiber_5_3_24/no_sample/basecalls/SQK-NBD114-24_barcode17.sorted.bam	N2_old_MTrapCtrl_eGFPHia5_mCherryMCVIPI	BC17_05_03_24	R10	N2	old_embryo_2h	none	none	eGFP-Hia5_q2_60kD	200nM-3xWash	overnight_4C	60min_25C	mCherry-MCVIPI (Heparin extraction)	400nM-3xWash	overnight_4C	60min_25C	"A, CG"	0	none	N2_old_MTrapCtrl_eGFPHia5_mCherryMCVIPI	1229	1516
/Data1/seq_data/BC_MTrapCtrl_LowCfiber_5_3_24/no_sample/basecalls/SQK-NBD114-24_barcode18.sorted.bam	N2_old_LowConcFiber_eGFPHia5_mCherryMCVIPI	BC18_05_03_24	R10	N2	old_embryo_2h	none	none	eGFP-Hia5_q2_60kD	200nM	none_fiber	60min_25C	mCherry-MCVIPI (Heparin extraction)	400nM	none_fiber	60min_25C	"A, CG"	0	none	N2_old_LowConcFiber_eGFPHia5_mCherryMCVIPI	1166	1434
/Data1/seq_data/BJ_eGFPHia5_50_53_66_79_N2_5_10_24/no_sample/combined_basecalls/SQK-NBD114-24_barcode19.sorted.bam	50_old_GFPHia5_DPY27_R10	BJ19_05_10_24	R10	TY6155	old_embryo_2h	none	none	eGFP-Hia5_q2_60kD	200nM-3xWash	overnight_4C	120min_25C	None	None	None	None	A	0	none	50_old_GFPHia5_DPY27_R10	572	1053
/Data1/seq_data/BJ_eGFPHia5_50_53_66_79_N2_5_10_24/no_sample/combined_basecalls/SQK-NBD114-24_barcode20.sorted.bam	53_old_DPY27_GFPHia5_R10	BJ20_05_10_24	R10	PHX7797	old_embryo_2h	none	none	eGFP-Hia5_q2_60kD	200nM-3xWash	overnight_4C	120min_25C	None	None	None	None	A	0	none	53_old_DPY27_GFPHia5_R10	206	378
/Data1/seq_data/BJ_eGFPHia5_50_53_66_79_N2_5_10_24/no_sample/combined_basecalls/SQK-NBD114-24_barcode21.sorted.bam	66_old_GFPHia5_SDC2_R10	BJ21_05_10_24	R10	PHX8226	old_embryo_2h	none	none	eGFP-Hia5_q2_60kD	200nM-3xWash	overnight_4C	120min_25C	None	None	None	None	A	0	none	66_old_GFPHia5_SDC2_R10	575	978
/Data1/seq_data/BJ_eGFPHia5_50_53_66_79_N2_5_10_24/no_sample/combined_basecalls/SQK-NBD114-24_barcode22.sorted.bam	79_old_SDC2degron_GFPHia5_DPY27_R10	BJ22_05_10_24	R10	TY6165	old_embryo_2h	none	none	eGFP-Hia5_q2_60kD	200nM-3xWash	overnight_4C	120min_25C	None	None	None	None	A	0	none	79_old_SDC2degron_GFPHia5_DPY27_R10	461	781
/Data1/seq_data/BJ_eGFPHia5_50_53_66_79_N2_5_10_24/no_sample/combined_basecalls/SQK-NBD114-24_barcode23.sorted.bam	N2_old_MTrapCtrl_eGFPHia5_R10	BJ23_05_10_24	R10	N2	old_embryo_2h	none	none	eGFP-Hia5_q2_60kD	200nM-3xWash	overnight_4C	120min_25C	None	None	None	None	A	0	none	N2_old_MTrapCtrl_eGFPHia5_R10	1684	2212
/Data1/seq_data/BJ_eGFPHia5_50_53_66_79_N2_5_10_24/no_sample/combined_basecalls/SQK-NBD114-24_barcode24.sorted.bam	N2_old_LowConcFiber_eGFPHia5_R10	BJ24_05_10_24	R10	N2	old_embryo_2h	none	none	eGFP-Hia5_q2_60kD	200nM	none_fiber	120min_25C	None	None	None	None	A	0	none	N2_old_LowConcFiber_eGFPHia5_R10	1507	2130
/Data1/seq_data/BM_N2_old_Fiber_Hia5_MCVIPI_05_30_24/no_sample/20240530_1930_X2_FAX32001_56dbbc37/basecalls/mod_mappings.sorted.bam	N2_old_R10	BM_05_30_24_SMACseq_R10_rep1	R10	N2	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	N2_old_SMACseq_R10	1708	2420
/Data1/seq_data/BS_N2_old_Hia5_MCVIPI_10_17_2024/no_sample/20241018_1815_X2_FAX31996_a75b7b27/basecalls/mod_mappings.sorted.bam	N2_old_R10	BS_10_17_24_SMACseq_R10_rep2	R10	N2	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	N2_old_SMACseq_R10	3776	6651
/Data1/seq_data/BT_96DPY27Deg_old_Hia5_MCviPI_10_17_2024/no_sample/20241018_1752_X1_FAX20286_da16b0d3/basecalls/mod_mappings.sorted.bam	DPY27deg_comb_R10	BT_10_17_24_SMACseq_R10_rep2	R10	TY6181	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	96_old_DPY27degron_SMACseq_R10	2285	3171
/Data1/seq_data/BO1_N2old_H4K20meHia5_6_12_24/no_sample/20240612_1725_X2_FAX20312_6fd1e94e/basecalls/mod_mappings.sorted.bam	N2_old_H4K20meHia5_R10	BO1_06_13_24	R10	N2	old_embryo_2h	none	none	H4K20meNb-Hia5	200nM	overnight_4C	120min_25C	None	None	None	None	A	0	none	N2_old_H4K20meHia5_R10	237	438
/Data1/seq_data/BP1_51old_DPY21NULL_H4K20meHia5_6_12_24/no_sample/20240612_1724_X1_FAX32072_7061042c/basecalls/mod_mappings.sorted.bam	51_old_DPY21NULL_H4K20meHia5_R10	BP1_06_13_24	R10	TY3936	old_embryo_2h	none	none	H4K20meNb-Hia5	200nM	overnight_4C	120min_25C	None	None	None	None	A	0	none	51_old_DPY21NULL_H4K20meHia5_R10	440	605
/Data1/seq_data/TubeT_N2_Young_FiberSeq_02_14_23_v3/basecalls/m6A/mod_mappings.sorted.m6Aonly.explicit.bam	N2_young_fiber_R9	T-02_14_23	R9	N2	young_embryo	none	none	Hia5	2uM	none	120min_37C	none	none	none	none	A	0	none	N2-Young_Hia5_fiber	76	48
/Data1/seq_data/BK_N2_young_Fiber_Hia5_MCVIPI_05_30_24/no_sample/20240530_2001_X1_FAX32072_3094a801/basecalls/mod_mappings.sorted.bam	N2_young_SMACseq_R10	BK_05_30_24	R10	N2	young_embryo	none	none	Hia5	2uM	none_fiber	120min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	N2_young_SMACseq_R10	2873	5072
/Data1/seq_data/BW_AIJ_SDC2T0_SDC2_3_DEG_20241209/basecalls/SQK-NBD114-24_barcode23.sorted.bam	SDC3degron_old_R10	BW23_12_10_24	R10	TY5960	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	SDC3_degron_old_R10	761	2182
/Data1/seq_data/BW_AIJ_SDC2T0_SDC2_3_DEG_20241209/basecalls/SQK-NBD114-24_barcode24.sorted.bam	SDC2_SDC3degron_old_R10	BW24_12_10_24	R10	TY6209	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	SDC2_3_degron_old_R10	82	205
/Data1/seq_data/BX_SDC2deg_withd_allt_12_19_2024/run1/basecalls/SQK-NBD114-24_barcode01.sorted.bam	SDC2_degron_mid_T0_rep2_R10	BX01a_12_19_24	R10	TY6209	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	SDC2_3_degron_old_R10	128	251
/Data1/seq_data/BX_SDC2deg_withd_allt_12_19_2024/run1/basecalls/SQK-NBD114-24_barcode02.sorted.bam	SDC2_degron_mid_T0_rep3_R10	BX02a_12_19_24	R10	TY6209	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	SDC2_3_degron_old_R10	108	255
/Data1/seq_data/BX_SDC2deg_withd_allt_12_19_2024/run1/basecalls/SQK-NBD114-24_barcode03.sorted.bam	SDC2_degron_mid_T0p5_rep3_R10	BX03a_12_19_25	R10	TY6209	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	SDC2_3_degron_old_R10	56	146
/Data1/seq_data/BX_SDC2deg_withd_allt_12_19_2024/run1/basecalls/SQK-NBD114-24_barcode04.sorted.bam	SDC2_degron_mid_T1_rep3_R10	BX04a_12_19_25	R10	TY6209	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	SDC2_3_degron_old_R10	111	223
/Data1/seq_data/BX_SDC2deg_withd_allt_12_19_2024/run1/basecalls/SQK-NBD114-24_barcode05.sorted.bam	SDC2_degron_mid_T1p5_rep3_R10	BX05a_12_19_26	R10	TY6209	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	SDC2_3_degron_old_R10	103	224
/Data1/seq_data/BX_SDC2deg_withd_allt_12_19_2024/run1/basecalls/SQK-NBD114-24_barcode06.sorted.bam	SDC2_degron_mid_T2_rep2_R10	BX06a_12_19_26	R10	TY6209	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	SDC2_3_degron_old_R10	114	262
/Data1/seq_data/BX_SDC2deg_withd_allt_12_19_2024/run1/basecalls/SQK-NBD114-24_barcode07.sorted.bam	SDC2_degron_mid_T3_rep2_R10	BX07a_12_19_27	R10	TY6209	old_embryo_2h	none	none	Hia5	2uM	none_fiber	60min_25C	MCViPi	2U/uL	None	60min_25C	"A, CG"	0	none	SDC2_3_degron_old_R10	61	138
